LUN,label,size_in_kb,type,bootable,readonly,filename,system,sparse
5,mos_boot_b,65536,d597ae98-7278-db42-a213-27bf9067bf4a,false,false,,,
5,last_parti,0,00000000-0000-0000-0000-000000000000,false,true,,,
6,ALIGN_TO_128K_3,104,fa50cd9e-5dcb-4528-9b5f-ab876efd4580,false,true,,,
6,ifs2_b,262144,133e4a08-4def-11e6-beb8-9e71128cae77,false,true,ifs2_la.img,,
6,system_b,3145728,97D7B011-54DA-4835-B3C4-917AD6E73D74,false,false,system_la.img,,
6,vbmeta_b,64,ca51803e-4d9a-4fa5-b8f1-f5fa05f20f89,false,true,host_vbmeta_la.img,,
6,la_vbmeta_b,64,4b7a15d6-322c-42ac-8110-88b7da0c5d77,false,true,vbmeta.img,,
6,la_boot_b,65536,8E2F94FF-389A-4B97-A0D3-A13B5CEC7C36,false,false,boot.img,,
6,la_dtbo_b,8192,24d0d418-d31d-4d8d-ac2c-4d4305188450,false,false,,,
6,la_vendor_boot_b,65536,8E2F94FF-389A-4B97-A0D3-A13B5ECE7C36,false,true,vendor_boot.img,,
6,la_misc,1024,82ACC91F-357C-4A68-9C8F-689E1B1A23A1,false,false,,,
6,bluetooth_b,2048,6cb747f1-c2ef-4092-add0-ca39f79c7af4,false,true,BTFM.bin,,
6,vbmeta_mos_b,64,62c7e992-fd44-fc4b-b19c-f4e298318ff9,false,true,,,
6,sys_mos_b,3145728,756368f8-6673-354a-aac9-7b1518b637e5,false,false,,,
6,ifs2_mos_b,262144,a2e4c57f-b7bc-8e44-aa15-cc2ae9d79795,false,true,,,
6,last_parti,0,00000000-0000-0000-0000-000000000000,false,true,,,
7,ALIGN_TO_128K_4,104,0f496734-3e5c-4f65-a510-7260a409942a,false,true,,,
7,rawdump,631072,66C9B323-F7FC-48B6-BF96-6F32E335A428,false,false,,,
7,logdump,524288,5AF80809-AABB-4943-9168-CDFC38742598,,,,true,
7,persist,32768,6C95E238-E343-4BA8-B489-8681ED22AD0B,false,false,persist_qnx.img,,
7,misc,1024,82ACC91F-357C-4A68-9C8F-689E1B1A23A1,false,false,,,
7,la_metadata,16384,988A98C9-2910-4123-AAEC-1CF6B1BC28F9,false,false,metadata.img,,true
7,la_firmware,97280,76C92C11-64C7-4000-AFD8-41008365A207,false,true,,,
7,recoveryinfo,4,7374B391-291C-49FA-ABC2-0463AB5F713F,,,empty_4K.bin,true,
7,persist_mos,32768,a5222e14-cb79-7a41-b63d-80d1abf7a2a1,false,false,,,
7,qnxres_a,6291456,b1fc1000-ae15-480e-9efe-55e721765526,false,ture,qnxres.img,,
7,qnxres_b,6291456,b1fc1000-ae15-480e-9efe-55e721765526,false,ture,qnxres.img,,
7,cluster_a,1048576,6254D29D-671D-476E-8065-44A3977F9452,false,true,cluster.img,,
7,cluster_b,1048576,6254D29D-671D-476E-8065-44A3977F9452,false,true,cluster.img,,
7,userdata,6711296,1B81E7E6-F50D-419B-A739-2AEEF8DA3335,false,false,,,true
7,vims,1048576,eb235cff-71e2-4125-9c98-fe2e68237add,false,false,,,false
7,la_predata,1024,c14f5476-7f00-4147-b648-758d88826565,false,false,,,true
7,log_data,2097152,1ecda445-d041-45a7-91ab-a7ed4f2c14a9,false,false,log_data.img,,true
7,la_super,15728640,89A12DE1-5E41-4CB3-8B4C-B1441EB5DA38,false,false,super.img,,true
7,la_userdata,73400320,6E6D4ADD-DD73-4D05-AE54-2CD16925DD65,false,false,userdata.img,,true
7,navi_buffer,524288,3c727a0a-de2d-48ae-8e3d-49459228e8a4,false,false,,,true
7,vr_tts,20971520,004ecc9a-8fce-4012-8473-805dbad35801,false,false,,,true
7,ota_update,20971520,E6F5765D-A5F5-43C7-946F-2AF1F523A3A8,false,false,,,false
7,qnx_log,2097152,71cf1664-6b26-4c04-abdf-230a13ba114e,false,false,,,false
7,qnx_share,10485760,f000d6ad-435a-4526-a28f-c5bc362c7058,false,false,,,false
